날짜,요일,홈,방문,구장,관중수
2019/04/05,금,SK,삼성,문학,"9,178"
2019/04/05,금,KIA,키움,광주,"7,048"
2019/04/06,토,롯데,한화,사직,"23,305"
2019/04/06,토,KT,LG,수원,"8,509"
2019/04/06,토,두산,NC,잠실,"14,279"
2019/04/06,토,SK,삼성,문학,"14,617"
2019/04/06,토,KIA,키움,광주,"15,302"
2019/04/07,일,롯데,한화,사직,"11,028"
2019/04/07,일,KT,LG,수원,"12,563"
2019/04/07,일,두산,NC,잠실,"16,081"
2019/04/07,일,SK,삼성,문학,"19,069"
2019/04/09,화,키움,KT,고척,"1,377"
2019/04/10,수,키움,KT,고척,"1,158"
2019/04/10,수,KIA,NC,광주,"7,207"
2019/04/10,수,롯데,두산,사직,"6,825"
2019/04/10,수,한화,SK,대전,"5,434"
2019/04/10,수,LG,삼성,잠실,"10,261"
2019/04/11,목,키움,KT,고척,"1,369"
2019/04/11,목,KIA,NC,광주,"6,809"
2019/04/11,목,롯데,두산,사직,"7,403"
2019/04/11,목,한화,SK,대전,"5,792"
2019/04/11,목,LG,삼성,잠실,"11,168"
2019/04/12,금,키움,한화,고척,"6,559"
2019/04/12,금,SK,KIA,문학,"15,392"
2019/04/12,금,삼성,KT,대구,"7,087"
2019/04/12,금,NC,롯데,창원,"17,028"
2019/04/12,금,LG,두산,잠실,"18,489"
2019/04/13,토,키움,한화,고척,"12,322"
2019/04/13,토,SK,KIA,문학,"22,502"
2019/04/13,토,삼성,KT,대구,"16,783"
2019/04/13,토,NC,롯데,창원,"22,112"
2019/04/13,토,LG,두산,잠실,"25,000"
2019/04/14,일,키움,한화,고척,"10,338"
2019/04/14,일,SK,KIA,문학,"17,179"
2019/04/14,일,삼성,KT,대구,"7,347"
2019/04/14,일,NC,롯데,창원,"16,860"
2019/04/14,일,LG,두산,잠실,"15,459"
2019/04/16,화,KT,한화,수원,"7,248"
2019/04/16,화,롯데,KIA,사직,"9,766"
2019/04/16,화,NC,LG,창원,"6,568"
2019/04/16,화,두산,SK,잠실,"8,633"
2019/04/16,화,삼성,키움,포항,"5,179"
2019/04/17,수,KT,한화,수원,"6,342"
2019/04/17,수,롯데,KIA,사직,"7,175"
2019/04/17,수,NC,LG,창원,"9,030"
2019/04/17,수,두산,SK,잠실,"9,217"
2019/04/17,수,삼성,키움,포항,"5,784"
2019/04/18,목,KT,한화,수원,"5,536"
2019/04/18,목,롯데,KIA,사직,"7,777"
2019/04/18,목,NC,LG,창원,"7,156"
2019/04/18,목,두산,SK,잠실,"8,624"
2019/04/18,목,삼성,키움,포항,"5,284"
2019/04/19,금,롯데,KT,사직,"8,483"
2019/04/19,금,SK,NC,문학,"7,657"
2019/04/19,금,KIA,두산,광주,"9,044"
2019/04/19,금,한화,삼성,대전,"8,058"
2019/04/19,금,LG,키움,잠실,"9,936"
2019/04/20,토,롯데,KT,사직,"17,232"
2019/04/20,토,SK,NC,문학,"18,023"
2019/04/20,토,KIA,두산,광주,"16,047"
2019/04/20,토,한화,삼성,대전,"13,000"
2019/04/20,토,LG,키움,잠실,"16,362"
2019/04/21,일,롯데,KT,사직,"14,394"
2019/04/21,일,SK,NC,문학,"15,812"
2019/04/21,일,KIA,두산,광주,"13,401"
2019/04/21,일,한화,삼성,대전,"12,761"
2019/04/21,일,LG,키움,잠실,"14,364"
2019/04/23,화,LG,KIA,잠실,"12,485"
2019/04/23,화,KT,NC,수원,"2,903"
2019/04/23,화,키움,두산,고척,"4,034"
2019/04/24,수,LG,KIA,잠실,"14,171"
2019/04/24,수,한화,롯데,대전,"6,235"
2019/04/24,수,KT,NC,수원,"3,905"
2019/04/24,수,키움,두산,고척,"4,174"
2019/04/24,수,삼성,SK,대구,"6,214"
2019/04/25,목,키움,두산,고척,"4,042"
2019/04/25,목,삼성,SK,대구,"3,889"
2019/04/26,금,키움,KIA,고척,"5,357"
2019/04/26,금,두산,롯데,잠실,"15,257"
2019/04/26,금,KT,SK,수원,"3,712"
2019/04/27,토,NC,한화,창원,"15,140"
2019/04/27,토,키움,KIA,고척,"10,491"
2019/04/27,토,삼성,LG,대구,"19,767"
2019/04/27,토,두산,롯데,잠실,"24,027"
2019/04/27,토,KT,SK,수원,"10,514"
2019/04/28,일,NC,한화,창원,"11,267"
2019/04/28,일,키움,KIA,고척,"9,038"
2019/04/28,일,삼성,LG,대구,"14,214"
2019/04/28,일,두산,롯데,잠실,"20,219"
2019/04/28,일,KT,SK,수원,"8,508"
2019/04/30,화,LG,KT,잠실,"10,144"
2019/04/30,화,롯데,NC,사직,"13,974"
2019/04/30,화,한화,두산,대전,"7,555"
2019/04/30,화,KIA,삼성,광주,"8,204"
2019/04/30,화,SK,키움,문학,"8,972"
2019/05/01,수,LG,KT,잠실,"12,582"
2019/05/01,수,롯데,NC,사직,"12,296"
2019/05/01,수,한화,두산,대전,"10,779"
2019/05/01,수,KIA,삼성,광주,"8,023"
2019/05/01,수,SK,키움,문학,"15,875"
